46,164.9256
Motion, Set, MotionFinishedCount, Guess, Truth, Timer, 44, 196.8369
0,7, 22, Fireball, Nothing, 2013.217
3,10, 29, FlameBlock, FlameBlock, 2016.433
0,13, 20, Nothing, Nothing, 2019.75
1,6, 87, Nothing, Fireball, 2022.967
3,0, 35, Nothing, FlameBlock, 2026.1
0,2, 29, Fireball, Nothing, 2029.233
1,6, 89, Nothing, Fireball, 2032.467
2,13, 28, Fireball, Flames, 2035.583
2,20, 26, FlameBlock, Flames, 2038.85
3,3, 33, Nothing, FlameBlock, 2045.433
3,4, 28, Fireball, FlameBlock, 2048.617
2,15, 34, FlameBlock, Flames, 2051.783
2,1, 23, FlameBlock, Flames, 2054.884
2,11, 27, FlameBlock, Flames, 2058.167
0,6, 34, Nothing, Nothing, 2064.884
0,9, 17, Flames, Nothing, 2068.134
1,2, 89, Nothing, Fireball, 2071.283
0,2, 31, Fireball, Nothing, 2074.517
2,7, 29, Flames, Flames, 2080.884
3,5, 29, Nothing, FlameBlock, 2084.033
2,12, 28, Fireball, Flames, 2087.417
0,9, 18, Nothing, Nothing, 2090.683
2,11, 28, FlameBlock, Flames, 2093.9
0,4, 25, Nothing, Nothing, 2097.167
3,8, 36, Nothing, FlameBlock, 2100.433
1,3, 110, Nothing, Fireball, 2103.683
2,2, 30, Nothing, Flames, 2106.917
2,6, 33, Flames, Flames, 2110.117
3,9, 30, Nothing, FlameBlock, 2113.3
3,10, 30, Nothing, FlameBlock, 2116.45
3,1, 32, Nothing, FlameBlock, 2119.617
2,0, 33, FlameBlock, Flames, 2122.9
3,0, 37, Flames, FlameBlock, 2126
2,13, 31, FlameBlock, Flames, 2129.15
1,0, 92, Fireball, Fireball, 2132.317
2,6, 34, Fireball, Flames, 2135.45
2,7, 32, Flames, Flames, 2138.683
2,18, 21, Flames, Flames, 2142.083
1,0, 95, Fireball, Fireball, 2145.433
2,1, 25, Nothing, Flames, 2148.583
1,6, 91, FlameBlock, Fireball, 2151.783
3,9, 33, Nothing, FlameBlock, 2158.3
2,0, 35, Nothing, Flames, 2161.4
0,13, 21, FlameBlock, Nothing, 2167.983
3,8, 38, Fireball, FlameBlock, 2171.25
1,4, 87, FlameBlock, Fireball, 2174.35
2,15, 36, Nothing, Flames, 2177.634
0,3, 18, FlameBlock, Nothing, 2180.9
2,19, 22, FlameBlock, Flames, 2184.067
2,14, 19, FlameBlock, Flames, 2190.634
0,13, 22, FlameBlock, Nothing, 2193.8
3,1, 34, FlameBlock, FlameBlock, 2200.333
0,8, 21, FlameBlock, Nothing, 2203.433
3,8, 40, FlameBlock, FlameBlock, 2206.6
2,0, 38, FlameBlock, Flames, 2212.817
2,0, 39, FlameBlock, Flames, 2219.317
2,1, 26, Nothing, Flames, 2222.45
2,13, 33, Flames, Flames, 2225.667
0,7, 26, Nothing, Nothing, 2228.95
3,4, 30, FlameBlock, FlameBlock, 2232.233
3,2, 29, FlameBlock, FlameBlock, 2235.384
2,2, 33, FlameBlock, Flames, 2238.683
