Allspeed^1,Allspeed^2,Allspeed^3,Horspeed^1,Horspeed^2,Horspeed^3,VelForwardHand^1,VelForwardHand^2,VelForwardHand^3,VelForwardHead^1,VelForwardHead^2,VelForwardHead^3,HandHeadAngle^1,HandHeadAngle^2,HandHeadAngle^3,VertHandDist^1,VertHandDist^2,VertHandDist^3,HorHandDist^1,HorHandDist^2,HorHandDist^3,HandForwardHead^1,HandForwardHead^2,HandForwardHead^3,HandForward^1,HandForward^2,HandForward^3,States
0.8916321,0.7950079,0.7088546,0.8589585,0.7378098,0.633748,57.49792,3306.011,190088.8,86.37126,7459.995,644329.2,165.6576,27442.44,4546048,0.2761776,0.07627409,0.0210652,0.5646629,0.3188442,0.1800395,127.8162,16336.98,2088131,22.88862,523.8889,11991.09,0
0.9005597,0.8110077,0.7303608,0.8689706,0.7551098,0.6561682,55.00999,3026.099,166465.6,87.41769,7641.853,668033.2,167.1304,27932.56,4668378,0.2721567,0.07406928,0.02015845,0.5623384,0.3162245,0.1778252,127.8003,16332.91,2087350,23.59592,556.7674,13137.44,0
0.9180708,0.842854,0.7737996,0.891573,0.7949023,0.7087134,54.38656,2957.898,160869.9,87.53819,7662.935,670799.5,168.6495,28442.64,4796837,0.2688768,0.07229473,0.01943837,0.5600207,0.3136232,0.1756355,127.8083,16334.96,2087742,24.30252,590.6125,14353.37,0
0.9175462,0.8418911,0.7724739,0.8969703,0.8045558,0.7216626,54.18538,2936.055,159091.2,89.12554,7943.362,707956.4,170.1491,28950.73,4925942,0.2657175,0.07060579,0.0187612,0.5574988,0.3108049,0.1732733,127.9016,16358.83,2092322,24.92868,621.4393,15491.66,0
0.9419437,0.8872579,0.8357471,0.9140019,0.8353994,0.7635567,49.60679,2460.834,122074.1,92.92533,8635.117,802421.1,171.7215,29488.28,5063773,0.2612844,0.06826951,0.01783776,0.5539374,0.3068466,0.1699738,127.9425,16369.29,2094328,25.75713,663.4296,17088.04,0
0.9420708,0.8874975,0.8360855,0.9120764,0.8318833,0.7587411,45.73173,2091.391,95642.95,95.77175,9172.229,878440.4,173.2144,30003.21,5196987,0.2578549,0.06648917,0.01714456,0.5506982,0.3032685,0.1670094,127.851,16345.88,2089836,26.73623,714.826,19111.75,0
0.9330711,0.8706216,0.8123519,0.9084111,0.8252108,0.7496307,44.14591,1948.862,86034.27,97.0127,9411.465,913031.6,174.7948,30553.23,5340546,0.2541828,0.0646089,0.01642247,0.5472703,0.2995048,0.1639101,127.8484,16345.21,2089709,27.73949,769.4791,21344.96,0
0.9288098,0.8626877,0.8012728,0.9042171,0.8176086,0.7392957,42.24319,1784.487,75382.41,98.67619,9736.991,960809.2,176.289,31077.82,5478678,0.2507794,0.06289031,0.01577159,0.5439433,0.2958744,0.1609389,127.8399,16343.05,2089295,28.67251,822.1126,23572.03,0
0.8111622,0.6579841,0.5337318,0.7766357,0.603163,0.4684379,37.59156,1413.125,53121.57,99.8241,9964.851,994732.2,177.4545,31490.09,5588057,0.2463765,0.06070139,0.0149554,0.5416264,0.2933592,0.1588911,127.8658,16349.66,2090562,29.50003,870.2518,25672.46,0
0.8037056,0.6459427,0.5191478,0.7770293,0.6037746,0.4691506,37.71666,1422.546,53653.68,100.2727,10054.62,1008204,178.9749,32032.03,5732930,0.243933,0.05950329,0.01451481,0.5387148,0.2902137,0.1563424,127.8758,16352.21,2091052,30.44458,926.8726,28218.25,0
