I0,I1,I2,States,,IsTrue,IsFalse
0.262848,97.17625,105.7585,FALSE,,,0.262848
0.1775721,85.02879,113.0334,FALSE,,,0.1775721
0.105423,47.73207,76.02393,FALSE,,,0.105423
0.1786272,56.29458,70.4234,FALSE,,,0.1786272
0.2357697,51.17916,63.73123,FALSE,,,0.2357697
0.198708,43.84178,59.76637,FALSE,,,0.198708
0.1762516,39.41946,62.63544,FALSE,,,0.1762516
0.7889414,173.6159,25.66831,FALSE,,,0.7889414
1.021737,166.6419,26.31661,FALSE,,,1.021737
1.513525,148.9074,28.43488,TRUE,,1.513525,
1.852381,142.8381,29.73484,TRUE,,1.852381,
2.391014,137.4548,30.56263,TRUE,,2.391014,
2.631979,135.6869,31.48635,TRUE,,2.631979,
3.019469,135.7258,36.11496,TRUE,,3.019469,
3.151088,133.8654,38.97622,TRUE,,3.151088,
3.246792,128.0214,41.24092,TRUE,,3.246792,
2.953676,129.9751,41.164,TRUE,,2.953676,
2.582755,138.9123,39.10149,TRUE,,2.582755,
